Date,Reading1,Reading2,Reading3,Reading4,Reading5,Reading6,Reading7
"Sunday, March 21, 2021",John 20:11-18,"Hebrews 11:24-26,32-40",John 1:43-51,,,,
"Monday, March 22, 2021",Isaiah 4:2-6; 5:1-7,Genesis 3:21-24; 4:1-7,Proverbs 3:34-35; 4:1-22,,,,
"Tuesday, March 23, 2021",Isaiah 5:7-16,Genesis 4:8-15,Proverbs 5:1-15,,,,
"Wednesday, March 24, 2021",Isaiah 5:16-25,Genesis 4:16-26,Proverbs 5:15-23; 6:1-3,,,,
"Thursday, March 25, 2021","Luke 1:39-49, 56",Hebrews 2:11-18,Luke 1:24-38,,,,
"Friday, March 26, 2021",Isaiah 7:1-14,Genesis 5:32; 6:1-8,Proverbs 6:20-35; 7:1,,,,
"Saturday, March 27, 2021",Hebrews 3:12-16,Mark 1:35-44,,,,,
"Sunday, March 28, 2021",John 20:19-31,Hebrews 1:10-14;2:1-3,Mark 2:1-12,,,,
"Monday, March 29, 2021","Isaiah 8:13-22, 9:1-7",Genesis 6:9-22,Proverbs 8:1-21,,,,
"Tuesday, March 30, 2021",Isaiah 9:9-21; 10:1-4,Genesis 7:1-5,Proverbs 8:32-36; 9:1-11,,,,
"Wednesday, March 31, 2021",Isaiah 10:12-20,Genesis 7:6-9,Proverbs 9:12-18,,,,
"Thursday, April 01, 2021","Isaiah 11:10-16, 12:1-2",Genesis 7:11-24; 8:1-3,Proverbs 10:1-22,,,,
"Friday, April 02, 2021",Isaiah 13:2-13,Genesis 8:4-21,Proverbs 10:31-32; 11:1-12,,,,
"Saturday, April 03, 2021",Hebrews 10:32-38,Mark 2:14-17,,,,,
"Sunday, April 04, 2021",John 21:1-14,Hebrews 4:14-16;5:1-6,Mark 8:34-38; 9:1,,,,
"Monday, April 05, 2021",Isaiah 14:24-32,Genesis 8:21-22; 9:1-7,Proverbs 11:19-31; 12:1-6,,,,
"Tuesday, April 06, 2021",Isaiah 25:1-9,Genesis 9:8-17,Proverbs 12:8-22,,,,
"Wednesday, April 07, 2021",Isaiah 26:21; 27:1-9,Genesis 9:18-29; 10:1,Proverbs 12:23-28; 13:1-9,,,,
"Thursday, April 08, 2021",Isaiah 28:14-22,Genesis 10:32; 11:1-9,Proverbs 13:19-25; 14:1-6,,,,
"Friday, April 09, 2021",Isaiah 29:13-23,Genesis 12:1-7,Proverbs 14:15-26,,,,
"Saturday, April 10, 2021",Hebrews 6:9-12,Mark 7:31-37,,,,,
"Sunday, April 11, 2021",John 21:14-25,Hebrews 6:13-20,Mark 9:17-31,,,,
"Monday, April 12, 2021",Isaiah 37:33-38; 38:1-6,Genesis 13:12-18,Proverbs 14:27-35; 15:1-4,,,,
"Tuesday, April 13, 2021",Isaiah 40:18-31,Genesis 15:1-15,Proverbs 15:7-19,,,,
"Wednesday, April 14, 2021",Isaiah 41:4-14,Genesis 17:1-9,Proverbs 15:20-33; 16:1-9,,,,
"Thursday, April 15, 2021",Isaiah 42:5-16,Genesis 18:20-33,Proverbs 16:17-33; 17:1-17,,,,
"Friday, April 16, 2021",Isaiah 45:11-17,Genesis 22:1-18,Proverbs 17:17-28; 18:1-5,,,,
"Saturday, April 17, 2021",Hebrews 9:1-7,"Luke 1:39-49, 56",,,,,
"Sunday, April 18, 2021",Matthew 28:16-20,Hebrews 9:11-14,Mark 10:32-45,,,,
"Monday, April 19, 2021",Isaiah 48:17-22; 49:1-4,Genesis 27:1-41,Proverbs 19:16-25,,,,
"Tuesday, April 20, 2021",Isaiah 49:6-10,Genesis 31:3-16,Proverbs 21:3-21,,,,
"Wednesday, April 21, 2021",Isaiah 58:1-11,Genesis 43:26-31; 45:1-16,Proverbs 21:23-31; 22:1-4,,,,
"Thursday, April 22, 2021",Isaiah 65:8-16,Genesis 46:1-7,Proverbs 23:15-35; 24:1-5,,,,
"Friday, April 23, 2021",Isaiah 66:10-24,Genesis 49:33; 50:1-26,Proverbs 31:8-31,,,,
"Saturday, April 24, 2021",Hebrews 12:28-29;13:1-8,John 11:1-45,,,,,
"Sunday, April 25, 2021",Matthew 21:1-11; 15-17,Philippians 4:4-9,John 12:1-18,,,,
"Monday, April 26, 2021",Matthew 21:18-43,Matthew 24:3-35,,,,,
"Tuesday, April 27, 2021",Matthew 22:15-46; 23:1-39,Matthew 24:36-51; 25:1-46; 26:1-2,,,,,
"Wednesday, April 28, 2021",John 12:17-50,Matthew 26:6-16,,,,,
"Thursday, April 29, 2021",Luke 22:1-39,1 Corinthians 11:23-32,Matthew 26:1-20,John 13:3-17,Matthew 26:21-39,Luke 22:43-44, Matthew 26:40-75; 27:1-2
"Friday, April 30, 2021",1 Corinthians 5:6-8,Matthew 27:62-66,,,,,
"Saturday, May 01, 2021",Matthew 27:62-66,Romans 6:3-11,Matthew 28:1-20,,,,
"Sunday, May 02, 2021",Acts 1:1-8,John 1:1-17,,,,,
"Monday, May 03, 2021",Luke 21:12-19,Acts 12:1-11,John 1:18-28,,,,
"Tuesday, May 04, 2021",Acts 2:14-21,Luke 10:16-21,,,,,
"Wednesday, May 05, 2021",Hebrews 13:7-16,John 1:35-51,,,,,
"Thursday, May 06, 2021",Acts 2:38-43,John 3:1-15,,,,,
"Friday, May 07, 2021",Acts 3:1-8,John 2:12-22,,,,,
"Saturday, May 08, 2021",John 21:15-25,Acts 3:11-16,"John 19:25-28, 21:24-25",,,,
"Sunday, May 09, 2021",Matthew 28:16-20,Acts 5:12-20,John 20:19-31,,,,
"Monday, May 10, 2021",1 Corinthians 4:9-16,,,,,,
"Tuesday, May 11, 2021",Acts 4:1-10,John 3:16-21,,,,,
"Wednesday, May 12, 2021",Acts 4:13-22,John 5:17-24,,,,,
"Thursday, May 13, 2021",Acts 4:23-31,John 5:24-30,,,,,
"Friday, May 14, 2021",Acts 5:1-11,John 5:30-47; 6:1-2,,,,,
"Saturday, May 15, 2021",Acts 5:21-32,John 6:14-27,,,,,
"Sunday, May 16, 2021",Luke 24:1-12,Acts 6:1-7,Mark 15:43-47; 16:1-8,,,,
"Monday, May 17, 2021","Acts 6:8-15;7:1-5,47-60",John 4:46-54,,,,,
"Tuesday, May 18, 2021",Acts 8:5-17,John 6:27-33,,,,,
"Wednesday, May 19, 2021",Acts 8:18-25,John 6:35-39,,,,,
"Thursday, May 20, 2021",Acts 8:26-39,John 6:40-44,,,,,
"Friday, May 21, 2021",John 10:9-16,"Acts 26:1,12-20",John 10:1-9,,,,
"Saturday, May 22, 2021",Acts 9:19-31,John 15:17-27; 16:1-2,,,,,
"Sunday, May 23, 2021",Luke 24:13-35,Acts 9:32-42,John 5:1-15,,,,
"Monday, May 24, 2021",Acts 10:1-16,John 6:56-69,,,,,
"Tuesday, May 25, 2021",Luke 7:17-30,2 Corinthians 4:6-15,Matthew 11:2-15,,,,
"Wednesday, May 26, 2021",Acts 14:6-18,John 7:14-30,,,,,
"Thursday, May 27, 2021",Acts 10:34-43,John 8:12-20,,,,,
"Friday, May 28, 2021",Acts 10:44-48;11:1-10,John 8:21-30,,,,,
"Saturday, May 29, 2021",Acts 12:1-11,John 8:31-42,,,,,
"Sunday, May 30, 2021",John 20:1-10,Acts 11:19-30,John 4:5-42,,,,
"Monday, May 31, 2021",Acts 12:12-17,John 8:42-51,,,,,
"Tuesday, June 01, 2021",Acts 12:25;13.1-12,John 8:51-59,,,,,
"Wednesday, June 02, 2021",Acts 13:13-24,John 6:5-14,,,,,
"Thursday, June 03, 2021",Acts 14:20-28;15.1-4,John 9:39-41; 10:1-9,,,,,
"Friday, June 04, 2021",Hebrews 7:26-28;8:1-2,John 10:1-9,,,,,
"Saturday, June 05, 2021",Acts 15:35-41,John 10:27-38,,,,,
"Sunday, June 06, 2021",John 20:11-18,Acts 16:16-34,John 9:1-38,,,,
"Monday, June 07, 2021",Acts 17:1-9,John 11:47-54,,,,,
"Tuesday, June 08, 2021",Ephesians 2:4-10,Matthew 10:16-22,,,,,
"Wednesday, June 09, 2021",Acts 18:22-28,John 12:36-47,,,,,
"Thursday, June 10, 2021",Mark 16:9-20,Acts 1:1-12,Luke 24:36-53,,,,
"Friday, June 11, 2021",Luke 10:16-21,1 Corinthians 4:9-16,Matthew 5:14-19,,,,
"Saturday, June 12, 2021",Acts 20:7-12,John 14:10-21,,,,,
"Sunday, June 13, 2021",John 21:1-14,"Acts 20:16-18,28-36",John 17:1-13,,,,
"Monday, June 14, 2021",Acts 21:8-14,John 14:27; 15:1-7,,,,,
"Tuesday, June 15, 2021",Acts 21:26-32,John 16:2-13,,,,,
"Wednesday, June 16, 2021",Acts 23:1-11,John 16:15-23,,,,,
"Thursday, June 17, 2021",Acts 25:13-19,John 16:23-33,,,,,
"Friday, June 18, 2021",Acts 27:1-44;28:1,John 17:18-26,,,,,
"Saturday, June 19, 2021",1 Thessalonians 4:13-17,John 21:14-25,,,,,
"Sunday, June 20, 2021",John 20:19-23,Acts 2:1-11,John 7:37-52; 8:12,,,,
"Monday, June 21, 2021",Ephesians 5:8-19,Matthew 18:10-20,,,,,
"Tuesday, June 22, 2021","Romans 1:1-7,13-17",Matthew 4:23-25;5:1-13,,,,,
"Wednesday, June 23, 2021",Romans 1:18-27,Matthew 5:20-26,,,,,
"Thursday, June 24, 2021","Luke 1:24-25, 57-68, 76, 80",Romans 13:11-14;14:1-4,"Luke 1:24-25, 57-68, 76, 80",,,,
"Friday, June 25, 2021",Romans 2:14-28,Matthew 5:33-41,,,,,
"Saturday, June 26, 2021",Romans 1:7-12,Matthew 5:42-48,,,,,
"Sunday, June 27, 2021",Matthew 28:16-20,Hebrews 11:33-40;12:1-2,Matthew 10:32-33; 37-38; 19:27-30,,,,
"Monday, June 28, 2021",Romans 2:28-29;3:1-18,Matthew 6:31-34; 7:9-11,,,,,
"Tuesday, June 29, 2021",John 21:14-25,2 Corinthians 11:21-33;12:1-9,Matthew 16:13-19,,,,
"Wednesday, June 30, 2021",1 Corinthians 4:9-16,"Matthew 9:36, 10:1-8",,,,,
"Thursday, July 01, 2021",1 Corinthians 12:27-31;13:1-8,"Matthew 10:1, 5-8",,,,,
"Friday, July 02, 2021",Hebrews 9:1-7,"Luke 1:39-49, 56",,,,,
"Saturday, July 03, 2021",Romans 3:19-24,Matthew 7:1-8,,,,,
"Sunday, July 04, 2021",Mark 16:1-8,Romans 2:10-16,Matthew 4:18-23,,,,
"Monday, July 05, 2021",Galatians 5:22-26;6:1-2,Matthew 11:27-30,,,,,
"Tuesday, July 06, 2021",Romans 7:14-25; 8:1-2,Matthew 10:9-15,,,,,
"Wednesday, July 07, 2021",Galatians 3:23-29;4:1-5,Mark 5:24-34,,,,,
"Thursday, July 08, 2021",1 Timothy 4:9-15,"Luke 6:17-19, 9:1-2, 10:16-21",,,,,
"Friday, July 09, 2021",Romans 9:6-19,Matthew 10:32-36; 11:1,,,,,
"Saturday, July 10, 2021",Romans 3:28-31;4:1-3,Matthew 7:24-29; 8:1-4,,,,,
"Sunday, July 11, 2021",Mark 16:9-20,2 Corinthians 6:1-10,Matthew 6:22-33,,,,
"Monday, July 12, 2021",Romans 9:18-33,Matthew 11:2-15,,,,,
"Tuesday, July 13, 2021",Luke 10:16-21,,,,,,
"Wednesday, July 14, 2021",Romans 16:1-16,Matthew 11:20-26,,,,,
"Thursday, July 15, 2021",1 Corinthians 13:11-13;14:1-5,Matthew 17:24-27; 18:1-4,,,,,
"Friday, July 16, 2021",Romans 11:25-36,Matthew 12:1-8,,,,,
"Saturday, July 17, 2021",Galatians 3:23-29;4:1-5,Mark 5:24-34,,,,,
"Sunday, July 18, 2021",Luke 24:1-12,Titus 3:8-15,Matthew 5:14-19,,,,
"Monday, July 19, 2021","Romans 12:4-5,15-21",Matthew 12:9-13,,,,,
"Tuesday, July 20, 2021",James 5:10-20,Luke 4:22-30,,,,,
"Wednesday, July 21, 2021",Romans 15:7-16,Matthew 12:38-45,,,,,
"Thursday, July 22, 2021",1 Corinthians 9:2-12,Luke 8:1-3,,,,,
"Friday, July 23, 2021",Romans 16:1-16,Matthew 13:3-9,,,,,
"Saturday, July 24, 2021",Romans 8:14-21,Matthew 9:9-13,,,,,
"Sunday, July 25, 2021",Luke 24:13-35,Galatians 4:22-27,Matthew 8:28-34; 9:1,,,,
"Monday, July 26, 2021",Galatians 3:23-29;4:1-5,Mark 5:24-34,,,,,
"Tuesday, July 27, 2021",Luke 21:12-19,2 Timothy 2:1-10,John 15:17-27; 16:1-2,,,,
"Wednesday, July 28, 2021",Acts 6:1-7,Matthew 13:31-36,,,,,
"Thursday, July 29, 2021",1 Corinthians 3:18-23,Matthew 13:36-43,,,,,
"Friday, July 30, 2021",Acts 15:35-41,Matthew 13:44-54,,,,,
"Saturday, July 31, 2021",Romans 9:1-5,Matthew 9:18-26,,,,,
"Sunday, August 01, 2021",Luke 24:36-53,Romans 12:6-14,Matthew 9:1-8,,,,
"Monday, August 02, 2021","Acts 6:8-15;7:1-5,47-60",Mark 12:1-12,,,,,
"Tuesday, August 03, 2021",1 Corinthians 6:20;7:1-12,Matthew 14:1-13,,,,,
"Wednesday, August 04, 2021",1 Corinthians 7:12-24,Matthew 14:35-36;15:1-11,,,,,
"Thursday, August 05, 2021",1 Peter 1:1-25;2:1-10,Matthew 15:12-21,,,,,
"Friday, August 06, 2021",Luke 9:28-36,2 Peter 1:10-19,Matthew 17:1-9,,,,
"Saturday, August 07, 2021",Romans 12:1-3,Mark 9:2-9,,,,,
"Sunday, August 08, 2021",John 20:1-10,Romans 15:1-7,Matthew 9:27-35,,,,
"Monday, August 09, 2021","Acts 1:12-17, 21-26",Matthew 16:1-6,,,,,
"Tuesday, August 10, 2021",1 Corinthians 10:5-12,Matthew 16:6-12,,,,,
"Wednesday, August 11, 2021",1 Corinthians 10:12-22,Matthew 16:20-24,,,,,
"Thursday, August 12, 2021",1 Corinthians 10:28-33;11:1-8,Matthew 16:24-28,,,,,
"Friday, August 13, 2021",1 Corinthians 11:8-23,Matthew 17:10-18,,,,,
"Saturday, August 14, 2021",Romans 13:1-10,Matthew 12:30-37,,,,,
"Sunday, August 15, 2021","Luke 1:39-49, 56",Philippians 2:5-11,"Luke 10:38-42, 11:27-28",,,,
"Monday, August 16, 2021",1 Timothy 3:13-16;4:1-5,"Luke 9:51-57, 10:22-24, 13:22",,,,,
"Tuesday, August 17, 2021",1 Corinthians 12:12-26,Matthew 18:18-22;19:1-2; 13-15,,,,,
"Wednesday, August 18, 2021",1 Corinthians 13:4-13;14:1-5,Matthew 20:1-16,,,,,
"Thursday, August 19, 2021",1 Corinthians 14:6-19,Matthew 20:17-28,,,,,
"Friday, August 20, 2021",1 Corinthians 14:26-40,Matthew 21:12-14; 17-20,,,,,
"Saturday, August 21, 2021",Romans 14:6-9,Mark 3:13-21,,,,,
"Sunday, August 22, 2021",John 20:19-31,1 Corinthians 3:9-17,Matthew 14:22-34,,,,
"Monday, August 23, 2021",Philippians 2:5-11,"Luke 10:38-42, 11:27-28",,,,,
"Tuesday, August 24, 2021",1 Corinthians 15:29-38,Matthew 21:23-27,,,,,
"Wednesday, August 25, 2021","Titus 1:1-5;2:15;3:1-2,12-15",Matthew 5:14-19,,,,,
"Thursday, August 26, 2021",Hebrews 6:9-12,Matthew 21:43-46,,,,,
"Friday, August 27, 2021",2 Corinthians 1:12-20,Matthew 22:23-33,,,,,
"Saturday, August 28, 2021",Romans 15:30-33,Matthew 17:24-27; 18:1-4,,,,,
"Sunday, August 29, 2021",John 21:1-14,Acts 13:25-33,Mark 6:14-30,,,,
"Monday, August 30, 2021",2 Corinthians 2:3-15,Matthew 23:13-22,,,,,
"Tuesday, August 31, 2021",Hebrews 9:1-7,"Luke 10:38-42, 11:27-28",,,,,
"Wednesday, September 01, 2021",1 Timothy 2:1-7,Luke 4:16-22,,,,,
"Thursday, September 02, 2021",Romans 8:28-39,Matthew 24:13-28,,,,,
"Friday, September 03, 2021",2 Corinthians 4:13-18,"Matthew 24:27-33, 42-51",,,,,
"Saturday, September 04, 2021",1 Corinthians 1:3-9,Matthew 19:3-12,,,,,
"Sunday, September 05, 2021",John 21:14-25,1 Corinthians 9:2-12,Matthew 18:23-35,,,,
"Monday, September 06, 2021",Hebrews 2:2-10,Luke 10:16-21,,,,,
"Tuesday, September 07, 2021",2 Corinthians 5:15-21,Mark 1:16-22,,,,,
"Wednesday, September 08, 2021","Luke 1:39-49, 56",Philippians 2:5-11,"Luke 10:38-42, 11:27-28",,,,
"Thursday, September 09, 2021",Galatians 4:22-27,Luke 8:16-21,,,,,
"Friday, September 10, 2021",2 Corinthians 7:10-16,John 3:16-21,,,,,
"Saturday, September 11, 2021",1 Corinthians 2:6-9,"Matthew 10:37-42, 11:1",,,,,
"Sunday, September 12, 2021",Matthew 28:16-20,Galatians 6:11-18,John 3:13-17,,,,
"Monday, September 13, 2021",Hebrews 3:1-4,Matthew 16:13-19,,,,,
"Tuesday, September 14, 2021",John 12:28-36,1 Corinthians 1:18-24,"John 19:6-11, 13-20, 25-28, 30",,,,
"Wednesday, September 15, 2021","Colossians 1:24-29, 2:1",Matthew 10:16-22,,,,,
"Thursday, September 16, 2021",2 Corinthians 6:1-10,Luke 7:36-50,,,,,
"Friday, September 17, 2021",2 Corinthians 11:5-21,Mark 4:1-9,,,,,
"Saturday, September 18, 2021",1 Corinthians 1:26-31;2:1-5,John 8:21-30,,,,,
"Sunday, September 19, 2021",Mark 16:1-8,Galatians 2:16-20,Mark 8:34-38; 9:1,,,,
"Monday, September 20, 2021",Ephesians 6:10-17,Luke 21:12-19,,,,,
"Tuesday, September 21, 2021",2 Corinthians 12:20-21;13:1-2,"Luke 3:23-38, 4:1",,,,,
"Wednesday, September 22, 2021",2 Corinthians 13:3-13,Luke 4:1-15,,,,,
"Thursday, September 23, 2021",Galatians 4:22-27,Luke 1:5-25,,,,,
"Friday, September 24, 2021","Luke 1:39-49, 56",2 Timothy 3:10-15,Luke 5:12-16,,,,
"Saturday, September 25, 2021",1 Corinthians 4:1-5,Luke 4:31-36,,,,,
"Sunday, September 26, 2021",Mark 16:9-20,1 John 4:12-19,John 19:25-27; 21:24-25,,,,
"Monday, September 27, 2021",Galatians 2:11-16,Luke 4:38-44,,,,,
"Tuesday, September 28, 2021",2 Corinthians 4:6-15,Luke 6:17-23,,,,,
"Wednesday, September 29, 2021",Galatians 5:22-26;6:1-2,Luke 5:33-39,,,,,
"Thursday, September 30, 2021",1 Corinthians 16:13-24,Matthew 24:42-47,,,,,
"Friday, October 01, 2021",Acts 9:10-19,Luke 6:17-23,,,,,
"Saturday, October 02, 2021",1 Timothy 1:12-17,Luke 5:17-26,,,,,
"Sunday, October 03, 2021",Luke 24:1-12,2 Corinthians 4:6-15,Luke 6:31-36,,,,
"Monday, October 04, 2021",Galatians 4:28-31;5:1-10,Luke 6:24-30,,,,,
"Tuesday, October 05, 2021",Galatians 5:11-21,Luke 6:37-45,,,,,
"Wednesday, October 06, 2021",1 Corinthians 4:9-16,John 20:19-31,,,,,
"Thursday, October 07, 2021",Ephesians 1:1-9,Luke 7:17-30,,,,,
"Friday, October 08, 2021",Ephesians 1:7-17,Luke 7:31-35,,,,,
"Saturday, October 09, 2021",1 Corinthians 4:9-16,Matthew 9:36-38; 10:1-8,,,,,
"Sunday, October 10, 2021",Luke 24:13-35,2 Corinthians 6:1-10,Luke 7:11-16,,,,
"Monday, October 11, 2021",Acts 8:26-39,Luke 7:36-50,,,,,
"Tuesday, October 12, 2021",Ephesians 2:19-22;3:1-7,Luke 8:1-3,,,,,
"Wednesday, October 13, 2021",Ephesians 3:8-21,Luke 8:22-25,,,,,
"Thursday, October 14, 2021",Ephesians 4:14-17,Luke 9:7-11,,,,,
"Friday, October 15, 2021",Ephesians 4:17-25,Luke 9:12-18,,,,,
"Saturday, October 16, 2021",1 Corinthians 14:20-25,Matthew 27:33-54,,,,,
"Sunday, October 17, 2021",Luke 24:36-53,Titus 3:8-15,Luke 8:5-15,,,,
"Monday, October 18, 2021","Colossians 4:5-11,14-18",Luke 10:16-21,,,,,
"Tuesday, October 19, 2021",Acts 2:14-21,Luke 9:23-27,,,,,
"Wednesday, October 20, 2021",2 Timothy 2:1-10,Luke 9:44-50,,,,,
"Thursday, October 21, 2021",2 Corinthians 9:6-11,Luke 9:49-56,,,,,
"Friday, October 22, 2021",Ephesians 6:18-24,Luke 10:1-15,,,,,
